cds,rtype,sname,dname,cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,year
1612000133397,S,Granada High                                      ,Livermore Valley Joint Unified                    ,Alameda        ,467,108,26,26,26,26,99,91.67,1314
1612000134536,S,Livermore High                                    ,Livermore Valley Joint Unified                    ,Alameda        ,438,74,25,25,25,24,59,79.73,1314
1612340000000,D,                                                  ,Newark Unified                                    ,Alameda        ,491,54,22,23,23,22,34,62.96,1314
1612340130054,S,Newark Memorial High                              ,Newark Unified                                    ,Alameda        ,418,54,22,23,23,22,34,62.96,1314
1612340130484,S,Crossroads High (Alternative)                     ,Newark Unified                                    ,Alameda        ,14,0,NA,NA,NA,NA,NA,NA,1314
1612420000000,D,                                                  ,New Haven Unified                                 ,Alameda        ,1170,242,21,22,24,22,150,61.98,1314
1612420126763,S,Decoto School for Independent Study               ,New Haven Unified                                 ,Alameda        ,73,0,NA,NA,NA,NA,NA,NA,1314
1612420134668,S,James Logan High                                  ,New Haven Unified                                 ,Alameda        ,943,242,21,22,24,22,150,61.98,1314
1612590000000,D,                                                  ,Oakland Unified                                   ,Alameda        ,3024,739,18,19,20,19,255,34.51,1314
1612590100065,S,Oakland Unity High                                ,Oakland Unified                                   ,Alameda        ,67,34,13,16,18,16,4,11.76,1314
1612590100701,S,MetWest High                                      ,Oakland Unified                                   ,Alameda        ,25,4,*,*,*,*,*,*,1314
1612590106906,S,Bay Area Technology                               ,Oakland Unified                                   ,Alameda        ,19,4,*,*,*,*,*,*,1314
1612590108944,S,Lighthouse Community Charter High                 ,Oakland Unified                                   ,Alameda        ,31,0,NA,NA,NA,NA,NA,NA,1314
1612590110189,S,McClymonds High                                   ,Oakland Unified                                   ,Alameda        ,47,23,13,15,14,14,1,4.35,1314
1612590111856,S,American Indian Public High                       ,Oakland Unified                                   ,Alameda        ,32,26,23,24,26,22,17,65.38,1314
1612590112797,S,Coliseum College Prep Academy                     ,Oakland Unified                                   ,Alameda        ,53,21,12,14,16,14,1,4.76,1314
1612590114868,S,Oakland Charter High                              ,Oakland Unified                                   ,Alameda        ,49,27,21,20,25,20,14,51.85,1314
1612590115238,S,ARISE High                                        ,Oakland Unified                                   ,Alameda        ,46,33,12,14,15,15,0,0,1314
1612590115386,S,Civicorps Corpsmember Academy                     ,Oakland Unified                                   ,Alameda        ,73,0,NA,NA,NA,NA,NA,NA,1314
1612590115667,S,Oakland International High                        ,Oakland Unified                                   ,Alameda        ,101,2,*,*,*,*,*,*,1314
1612590118224,S,Aspire Golden State College Preparatory           ,Oakland Unified                                   ,Alameda        ,28,6,*,*,*,*,*,*,1314
1612590119859,S,Gateway to College at Laney College               ,Oakland Unified                                   ,Alameda        ,87,0,NA,NA,NA,NA,NA,NA,1314
1612590125161,S,Castlemont High                                   ,Oakland Unified                                   ,Alameda        ,157,30,14,16,17,17,3,10,1314
1612590125716,S,Fremont High                                      ,Oakland Unified                                   ,Alameda        ,146,14,13,16,18,16,3,21.43,1314
1612590126748,S,LPS Oakland R & D Campus                          ,Oakland Unified                                   ,Alameda        ,63,10,*,*,*,*,*,*,1314
1612590130146,S,Rudsdale Continuation                             ,Oakland Unified                                   ,Alameda        ,75,1,*,*,*,*,*,*,1314
1612590130179,S,Street Academy (Alternative)                      ,Oakland Unified                                   ,Alameda        ,35,1,*,*,*,*,*,*,1314
1612590130575,S,LIFE Academy                                      ,Oakland Unified                                   ,Alameda        ,68,32,16,17,19,17,7,21.88,1314
1612590130617,S,"Oakland Military Institute, College Prep          ",Oakland Unified                                   ,Alameda        ,75,40,17,20,19,18,12,30,1314
1612590130633,S,Lighthouse Community Charter                      ,Oakland Unified                                   ,Alameda        ,0,1,*,*,*,*,*,*,1314
1612590130666,S,Aspire Lionel Wilson College Preparatory          ,Oakland Unified                                   ,Alameda        ,63,59,15,16,18,18,15,25.42,1314
1612590135905,S,Oakland High                                      ,Oakland Unified                                   ,Alameda        ,366,105,17,17,20,19,31,29.52,1314
1612590136051,S,Oakland Technical High                            ,Oakland Unified                                   ,Alameda        ,442,171,22,23,23,22,103,60.23,1314
