cds,rtype,sname,dname,cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21
00000000000000,X,                                                  ,                                                  ,               ,492835,108679,22,22,22,22,62426,57.44
01000000000000,C,                                                  ,                                                  ,Alameda        ,16662,4517,23,24,24,23,2931,64.89
01100170000000,D,                                                  ,Alameda County Office of Education                ,Alameda        ,263,14,*,*,*,*,*,*
01100170112607,S,Envision Academy for Arts & Technology            ,Alameda County Office of Education                ,Alameda        ,88,14,*,*,*,*,*,*
01316170131763,S,California School for the Deaf-Fremont            ,California School for the Deaf-Fremont (State Spec,Alameda        ,82,23,14,16,16,15,2,8.70
01611190000000,D,                                                  ,Alameda Unified                                   ,Alameda        ,858,227,25,25,25,24,185,81.50
01611190106401,S,Alameda Science and Technology Institute          ,Alameda Unified                                   ,Alameda        ,37,9,*,*,*,*,*,*
01611190119222,S,Nea Community Learning Center                     ,Alameda Unified                                   ,Alameda        ,25,4,*,*,*,*,*,*
01611190130229,S,Alameda High                                      ,Alameda Unified                                   ,Alameda        ,381,135,26,26,26,24,116,85.93
01611190130609,S,Alameda Community Learning Center                 ,Alameda Unified                                   ,Alameda        ,52,24,24,25,25,24,19,79.17
01611190130625,S,Alternatives in Action                            ,Alameda Unified                                   ,Alameda        ,31,1,*,*,*,*,*,*
01611190132142,S,Encinal Junior/Senior High                        ,Alameda Unified                                   ,Alameda        ,243,54,22,23,23,22,38,70.37
01611270000000,D,                                                  ,Albany City Unified                               ,Alameda        ,300,103,26,26,26,25,89,86.41
01611270130450,S,Albany High                                       ,Albany City Unified                               ,Alameda        ,285,103,26,26,26,25,89,86.41
01611430000000,D,                                                  ,Berkeley Unified                                  ,Alameda        ,922,246,25,25,24,24,170,69.11
01611430122697,S,REALM Charter High                                ,Berkeley Unified                                  ,Alameda        ,77,6,*,*,*,*,*,*
01611430131177,S,Berkeley High                                     ,Berkeley Unified                                  ,Alameda        ,798,240,25,26,24,24,169,70.42
01611500000000,D,                                                  ,Castro Valley Unified                             ,Alameda        ,789,225,25,25,26,24,178,79.11
01611500132225,S,Castro Valley High                                ,Castro Valley Unified                             ,Alameda        ,702,225,25,25,26,24,178,79.11
01611680000000,D,                                                  ,Emery Unified                                     ,Alameda        ,50,20,15,18,18,17,3,15.00
01611680132746,S,Emery Secondary                                   ,Emery Unified                                     ,Alameda        ,50,20,15,18,18,17,3,15.00
01611760000000,D,                                                  ,Fremont Unified                                   ,Alameda        ,2548,753,28,28,28,27,658,87.38
01611760130062,S,American High                                     ,Fremont Unified                                   ,Alameda        ,444,108,29,28,29,27,97,89.81
01611760130435,S,Vista Alternative                                 ,Fremont Unified                                   ,Alameda        ,17,0,N/A,N/A,N/A,N/A,N/A,N/A
01611760130534,S,Circle of Independent Learning                    ,Fremont Unified                                   ,Alameda        ,40,3,*,*,*,*,*,*
01611760134270,S,Irvington High                                    ,Fremont Unified                                   ,Alameda        ,553,187,27,27,29,27,164,87.70
01611760134452,S,John F. Kennedy High                              ,Fremont Unified                                   ,Alameda        ,369,90,21,23,22,22,55,61.11
01611760135244,S,Mission San Jose High                             ,Fremont Unified                                   ,Alameda        ,545,272,30,30,31,29,258,94.85
01611760138693,S,Washington High                                   ,Fremont Unified                                   ,Alameda        ,425,93,27,27,26,26,82,88.17
01611920000000,D,                                                  ,Hayward Unified                                   ,Alameda        ,1490,289,18,19,19,18,88,30.45
01611920108670,S,Leadership Public Schools - Hayward               ,Hayward Unified                                   ,Alameda        ,113,99,17,18,20,18,32,32.32
01611920113902,S,Impact Academy of Arts & Technology               ,Hayward Unified                                   ,Alameda        ,108,35,18,18,19,18,6,17.14
01611920127944,S,Silver Oak High Public Montessori Charter         ,Hayward Unified                                   ,Alameda        ,15,0,N/A,N/A,N/A,N/A,N/A,N/A
01611920133629,S,Hayward High                                      ,Hayward Unified                                   ,Alameda        ,342,71,18,18,18,18,17,23.94
01611920135319,S,Mt. Eden High                                     ,Hayward Unified                                   ,Alameda        ,430,46,20,20,20,19,20,43.48
01611920138339,S,Tennyson High                                     ,Hayward Unified                                   ,Alameda        ,307,38,17,18,19,18,13,34.21
01612000000000,D,                                                  ,Livermore Valley Joint Unified                    ,Alameda        ,1076,317,25,26,25,25,267,84.23
01612000120931,S,Livermore Valley Charter Preparatory High         ,Livermore Valley Joint Unified                    ,Alameda        ,93,35,25,25,24,23,26,74.29
01612000130393,S,Vineyard Alternative                              ,Livermore Valley Joint Unified                    ,Alameda        ,28,0,N/A,N/A,N/A,N/A,N/A,N/A
01612000133397,S,Granada High                                      ,Livermore Valley Joint Unified                    ,Alameda        ,473,157,26,26,26,25,139,88.54
01612000134536,S,Livermore High                                    ,Livermore Valley Joint Unified                    ,Alameda        ,405,125,25,26,25,24,102,81.60
01612340000000,D,                                                  ,Newark Unified                                    ,Alameda        ,517,61,22,22,22,22,36,59.02
01612340130054,S,Newark Memorial High                              ,Newark Unified                                    ,Alameda        ,444,61,22,22,22,22,36,59.02
01612340130484,S,Crossroads High (Alternative)                     ,Newark Unified                                    ,Alameda        ,23,0,N/A,N/A,N/A,N/A,N/A,N/A
01612420000000,D,                                                  ,New Haven Unified                                 ,Alameda        ,1132,200,22,23,23,22,116,58.00
01612420126763,S,Decoto School for Independent Study               ,New Haven Unified                                 ,Alameda        ,84,0,N/A,N/A,N/A,N/A,N/A,N/A
01612420134668,S,James Logan High                                  ,New Haven Unified                                 ,Alameda        ,920,200,22,23,23,22,116,58.00
01612590000000,D,                                                  ,Oakland Unified                                   ,Alameda        ,3020,930,17,19,19,18,274,29.46
01612590100065,S,Oakland Unity High                                ,Oakland Unified                                   ,Alameda        ,66,64,14,16,18,16,5,7.81
01612590100701,S,MetWest High                                      ,Oakland Unified                                   ,Alameda        ,41,3,*,*,*,*,*,*
01612590106906,S,Bay Area Technology                               ,Oakland Unified                                   ,Alameda        ,23,6,*,*,*,*,*,*
01612590108944,S,Lighthouse Community Charter High                 ,Oakland Unified                                   ,Alameda        ,59,0,N/A,N/A,N/A,N/A,N/A,N/A
01612590110189,S,McClymonds High                                   ,Oakland Unified                                   ,Alameda        ,57,24,15,16,16,15,2,8.33
01612590111856,S,American Indian Public High                       ,Oakland Unified                                   ,Alameda        ,29,0,N/A,N/A,N/A,N/A,N/A,N/A
01612590112797,S,Coliseum College Prep Academy                     ,Oakland Unified                                   ,Alameda        ,61,18,15,16,17,16,1,5.56
01612590114868,S,Oakland Charter High                              ,Oakland Unified                                   ,Alameda        ,66,30,23,24,25,22,20,66.67
01612590115238,S,ARISE High                                        ,Oakland Unified                                   ,Alameda        ,53,14,*,*,*,*,*,*
01612590115386,S,Civicorps Corpsmember Academy                     ,Oakland Unified                                   ,Alameda        ,78,0,N/A,N/A,N/A,N/A,N/A,N/A
01612590115667,S,Oakland International High                        ,Oakland Unified                                   ,Alameda        ,82,29,12,13,15,15,0,0.00
01612590118224,S,Aspire Golden State College Preparatory Academy   ,Oakland Unified                                   ,Alameda        ,65,75,14,15,16,15,5,6.67
01612590119859,S,Gateway to College at Laney College               ,Oakland Unified                                   ,Alameda        ,62,0,N/A,N/A,N/A,N/A,N/A,N/A
01612590125161,S,Castlemont High                                   ,Oakland Unified                                   ,Alameda        ,124,32,14,16,16,16,3,9.38
01612590125716,S,Fremont High                                      ,Oakland Unified                                   ,Alameda        ,134,12,*,*,*,*,*,*
01612590126748,S,LPS Oakland R & D Campus                          ,Oakland Unified                                   ,Alameda        ,81,63,14,15,16,16,6,9.52
01612590130179,S,Street Academy (Alternative)                      ,Oakland Unified                                   ,Alameda        ,24,2,*,*,*,*,*,*
01612590130575,S,LIFE Academy                                      ,Oakland Unified                                   ,Alameda        ,73,32,15,17,18,17,6,18.75
01612590130617,S,"Oakland Military Institute, College Preparatory Ac",Oakland Unified                                   ,Alameda        ,68,31,18,19,20,19,11,35.48
01612590130666,S,Aspire Lionel Wilson College Preparatory Academy  ,Oakland Unified                                   ,Alameda        ,137,93,15,17,18,17,15,16.13
01612590135905,S,Oakland High                                      ,Oakland Unified                                   ,Alameda        ,322,111,17,18,19,18,27,24.32
01612590136051,S,Oakland Technical High                            ,Oakland Unified                                   ,Alameda        ,469,196,23,24,24,23,129,65.82
01612590137943,S,Skyline High                                      ,Oakland Unified                                   ,Alameda        ,349,70,19,20,20,19,27,38.57
01612593030772,S,Oakland School for the Arts                       ,Oakland Unified                                   ,Alameda        ,86,25,22,24,19,20,13,52.00
01612596114011,S,"Independent Study, Sojourner Truth                ",Oakland Unified                                   ,Alameda        ,71,0,N/A,N/A,N/A,N/A,N/A,N/A
01612750000000,D,                                                  ,Piedmont City Unified                             ,Alameda        ,208,91,29,29,27,28,86,94.51
01612750130286,S,Millennium High Alternative                       ,Piedmont City Unified                             ,Alameda        ,24,7,*,*,*,*,*,*
01612750136515,S,Piedmont High                                     ,Piedmont City Unified                             ,Alameda        ,178,84,30,30,28,28,82,97.62
01612910000000,D,                                                  ,San Leandro Unified                               ,Alameda        ,699,97,20,21,20,21,46,47.42
01612910137588,S,San Leandro High                                  ,San Leandro Unified                               ,Alameda        ,619,97,20,21,20,21,46,47.42
01613090000000,D,                                                  ,San Lorenzo Unified                               ,Alameda        ,975,191,20,21,21,20,77,40.31
01613090111799,S,East Bay Arts High                                ,San Lorenzo Unified                               ,Alameda        ,24,3,*,*,*,*,*,*
01613090114421,S,KIPP King Collegiate High                         ,San Lorenzo Unified                               ,Alameda        ,113,97,20,21,20,19,38,39.18
01613090130849,S,Arroyo High                                       ,San Lorenzo Unified                               ,Alameda        ,445,36,22,22,23,22,21,58.33
01613090137810,S,San Lorenzo High                                  ,San Lorenzo Unified                               ,Alameda        ,300,55,18,20,21,20,18,32.73
01750930000000,D,                                                  ,Dublin Unified                                    ,Alameda        ,523,240,25,26,26,25,195,81.25
01750930132704,S,Dublin High                                       ,Dublin Unified                                    ,Alameda        ,489,240,25,26,26,25,195,81.25
01751010000000,D,                                                  ,Pleasanton Unified                                ,Alameda        ,1203,490,28,28,28,27,461,94.08
01751010130096,S,Foothill High                                     ,Pleasanton Unified                                ,Alameda        ,487,188,27,27,27,25,169,89.89
01751010130252,S,Village High                                      ,Pleasanton Unified                                ,Alameda        ,57,1,*,*,*,*,*,*
01751010130583,S,Amador Valley High                                ,Pleasanton Unified                                ,Alameda        ,638,301,29,29,29,28,292,97.01
03000000000000,C,                                                  ,                                                  ,Amador         ,326,56,24,25,23,24,44,78.57
03100330000000,D,                                                  ,Amador County Office of Education                 ,Amador         ,18,0,N/A,N/A,N/A,N/A,N/A,N/A
03739810000000,D,                                                  ,Amador County Unified                             ,Amador         ,308,56,24,25,23,24,44,78.57
03739810330050,S,North Star Independent Study                      ,Amador County Unified                             ,Amador         ,28,0,N/A,N/A,N/A,N/A,N/A,N/A
03739810330753,S,Amador High                                       ,Amador County Unified                             ,Amador         ,140,30,24,25,24,24,24,80.00
03739810334755,S,Argonaut High                                     ,Amador County Unified                             ,Amador         ,112,26,24,25,23,24,20,76.92
04000000000000,C,                                                  ,                                                  ,Butte          ,2445,319,22,24,24,23,215,67.40
04100410000000,D,                                                  ,Butte County Office of Education                  ,Butte          ,119,4,*,*,*,*,*,*
04100410114991,S,CORE Butte Charter                                ,Butte County Office of Education                  ,Butte          ,73,4,*,*,*,*,*,*
04100410430090,S,Learning Community Charter                        ,Butte County Office of Education                  ,Butte          ,34,0,N/A,N/A,N/A,N/A,N/A,N/A
04614080000000,D,                                                  ,Biggs Unified                                     ,Butte          ,42,1,*,*,*,*,*,*
04614080430827,S,Biggs High                                        ,Biggs Unified                                     ,Butte          ,38,1,*,*,*,*,*,*
04614240000000,D,                                                  ,Chico Unified                                     ,Butte          ,1094,207,23,25,24,24,155,74.88
04614240120394,S,Inspire School of Arts and Sciences               ,Chico Unified                                     ,Butte          ,95,10,*,*,*,*,*,*
04614240430199,S,Oakdale                                           ,Chico Unified                                     ,Butte          ,58,0,N/A,N/A,N/A,N/A,N/A,N/A
04614240431676,S,Chico High                                        ,Chico Unified                                     ,Butte          ,402,88,23,25,25,24,68,77.27
04614240437558,S,Pleasant Valley High                              ,Chico Unified                                     ,Butte          ,445,109,23,24,24,23,78,71.56
04614320000000,D,                                                  ,Durham Unified                                    ,Butte          ,68,10,*,*,*,*,*,*
04614320433201,S,Durham High                                       ,Durham Unified                                    ,Butte          ,68,10,*,*,*,*,*,*
04614570000000,D,                                                  ,Golden Feather Union Elementary                   ,Butte          ,18,0,N/A,N/A,N/A,N/A,N/A,N/A
04614570125252,S,Pivot Charter School North Valley                 ,Golden Feather Union Elementary                   ,Butte          ,18,0,N/A,N/A,N/A,N/A,N/A,N/A
04615150000000,D,                                                  ,Oroville Union High                               ,Butte          ,543,48,18,20,20,19,16,33.33
04615150434803,S,Las Plumas High                                   ,Oroville Union High                               ,Butte          ,222,18,20,22,21,20,8,44.44
04615150435602,S,Oroville High                                     ,Oroville Union High                               ,Butte          ,239,30,18,19,20,18,8,26.67
04615310000000,D,                                                  ,Paradise Unified                                  ,Butte          ,369,27,22,23,23,22,18,66.67
04615310121715,S,Paradise eLearning Charter Academy                ,Paradise Unified                                  ,Butte          ,17,0,N/A,N/A,N/A,N/A,N/A,N/A
04615310437350,S,Paradise Senior High                              ,Paradise Unified                                  ,Butte          ,260,27,22,23,23,22,18,66.67
04615316112585,S,HomeTech Charter                                  ,Paradise Unified                                  ,Butte          ,33,0,N/A,N/A,N/A,N/A,N/A,N/A
04755070000000,D,                                                  ,Gridley Unified                                   ,Butte          ,180,22,22,23,23,22,15,68.18
04755070433953,S,Gridley High                                      ,Gridley Unified                                   ,Butte          ,160,22,22,23,23,22,15,68.18
05000000000000,C,                                                  ,                                                  ,Calaveras      ,498,60,23,24,23,23,47,78.33
