cds,ccode,cdcode,scode,rtype,sname,dname,cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21
00000000000000,00,0000000,0000000,X,,,,484169,109506,22,23,22,22,63629,58.11
01000000000000,01,0100000,0000000,C,,,Alameda,16638,4587,24,25,25,24,3193,69.61
01100170000000,01,0110017,0000000,D,,Alameda County Office of Education,Alameda,253,9,*,*,*,*,*,*
01100170112607,01,0110017,0112607,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,81,9,*,*,*,*,*,*
01316170131763,01,0131617,0131763,S,California School for the Deaf-Fremont,California School for the Deaf-Fremont (State Spec,Alameda,86,26,12,16,16,16,1,3.85
01611190000000,01,0161119,0000000,D,,Alameda Unified,Alameda,910,275,25,25,25,24,217,78.91
01611190106401,01,0161119,0106401,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,44,16,25,25,26,26,15,93.75
01611190119222,01,0161119,0119222,S,Nea Community Learning Center,Alameda Unified,Alameda,16,1,*,*,*,*,*,*
01611190130229,01,0161119,0130229,S,Alameda High,Alameda Unified,Alameda,419,158,26,26,26,25,134,84.81
01611190130609,01,0161119,0130609,S,Alameda Community Learning Center,Alameda Unified,Alameda,52,21,27,26,25,24,19,90.48
01611190130625,01,0161119,0130625,S,Alternatives in Action,Alameda Unified,Alameda,30,5,*,*,*,*,*,*
01611190132142,01,0161119,0132142,S,Encinal Junior/Senior High,Alameda Unified,Alameda,245,0,N/A,N/A,N/A,N/A,N/A,N/A
01611270000000,01,0161127,0000000,D,,Albany City Unified,Alameda,300,128,27,28,28,27,114,89.06
01611270130450,01,0161127,0130450,S,Albany High,Albany City Unified,Alameda,295,128,27,28,28,27,114,89.06
01611430000000,01,0161143,0000000,D,,Berkeley Unified,Alameda,891,332,25,26,25,24,241,72.59
01611430122697,01,0161143,0122697,S,REALM Charter High,Berkeley Unified,Alameda,63,10,*,*,*,*,*,*
01611430131177,01,0161143,0131177,S,Berkeley High,Berkeley Unified,Alameda,781,321,26,26,25,24,239,74.45
01611430134924,01,0161143,0134924,S,Berkeley Technology Academy,Berkeley Unified,Alameda,44,1,*,*,*,*,*,*
01611500000000,01,0161150,0000000,D,,Castro Valley Unified,Alameda,779,174,25,25,25,24,136,78.16
01611500132225,01,0161150,0132225,S,Castro Valley High,Castro Valley Unified,Alameda,714,173,25,25,25,24,136,78.61
