cds,Ccode,CDcode,Scode,rtype,sname,dname,cname,enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,year
00000000000000,00,0000000,0000000,X,  , , ,489221,100197,22,23,22,22,56664,56.55,2017-18
01000000000000,01,0100000,0000000,C,       ,     ,Alameda,17476,4120,25,25,25,24,2879,69.88,2017-18
01100170000000,01,0110017,0000000,D,,Alameda County Office of Education,Alameda,249,16,20,19,20,20,8,50.00,2017-18
01100170112607,01,0110017,0112607,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,93,16,20,19,20,20,8,50.00,2017-18
01316170131763,01,0131617,0131763,S,California School for the Deaf-Fremont,California School for the Deaf-Fremont (State Spec,Alameda,76,26,12,15,15,16,0,0.00,2017-18
01611190000000,01,0161119,0000000,D,,Alameda Unified,Alameda,946,222,26,27,25,25,190,85.59,2017-18
01611190106401,01,0161119,0106401,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,44,16,27,28,27,26,15,93.75,2017-18
01611190119222,01,0161119,0119222,S,Nea Community Learning Center,Alameda Unified,Alameda,30,2,*,*,*,*,*,*,2017-18
01611190130229,01,0161119,0130229,S,Alameda High,Alameda Unified,Alameda,447,137,27,27,26,26,120,87.59,2017-18
01611190130609,01,0161119,0130609,S,Alameda Community Learning Center,Alameda Unified,Alameda,44,6,*,*,*,*,*,*,2017-18
01611190130625,01,0161119,0130625,S,Alternatives in Action,Alameda Unified,Alameda,34,0,N/A,N/A,N/A,N/A,N/A,N/A,2017-18
01611190132142,01,0161119,0132142,S,Encinal Junior/Senior High,Alameda Unified,Alameda,265,61,25,26,23,23,48,78.69,2017-18
01611270000000,01,0161127,0000000,D,,Albany City Unified,Alameda,279,91,29,29,28,27,85,93.41,2017-18
01611270130450,01,0161127,0130450,S,Albany High,Albany City Unified,Alameda,269,91,29,29,28,27,85,93.41,2017-18
01611430000000,01,0161143,0000000,D,,Berkeley Unified,Alameda,878,290,25,26,24,24,200,68.97,2017-18
01611430122697,01,0161143,0122697,S,REALM Charter High,Berkeley Unified,Alameda,86,7,*,*,*,*,*,*,2017-18
01611430131177,01,0161143,0131177,S,Berkeley High,Berkeley Unified,Alameda,746,281,25,26,24,24,199,70.82,2017-18
01611430134924,01,0161143,0134924,S,Berkeley Technology Academy,Berkeley Unified,Alameda,37,2,*,*,*,*,*,*,2017-18
01611500000000,01,0161150,0000000,D,,Castro Valley Unified,Alameda,775,173,26,26,26,25,139,80.35,2017-18
01611500132225,01,0161150,0132225,S,Castro Valley High,Castro Valley Unified,Alameda,713,173,26,26,26,25,139,80.35,2017-18
01611680000000,01,0161168,0000000,D,,Emery Unified,Alameda,39,9,*,*,*,*,*,*,2017-18
01611680132746,01,0161168,0132746,S,Emery Secondary,Emery Unified,Alameda,39,9,*,*,*,*,*,*,2017-18
01611760000000,01,0161176,0000000,D,,Fremont Unified,Alameda,2686,683,30,29,30,28,623,91.22,2017-18
01611760130062,01,0161176,0130062,S,American High,Fremont Unified,Alameda,484,131,30,29,29,28,123,93.89,2017-18
01611760130534,01,0161176,0130534,S,Circle of Independent Learning,Fremont Unified,Alameda,74,4,*,*,*,*,*,*,2017-18
01611760134270,01,0161176,0134270,S,Irvington High,Fremont Unified,Alameda,609,189,30,29,30,29,175,92.59,2017-18
01611760134452,01,0161176,0134452,S,John F. Kennedy High,Fremont Unified,Alameda,390,54,23,24,24,23,34,62.96,2017-18
01611760135244,01,0161176,0135244,S,Mission San Jose High,Fremont Unified,Alameda,526,210,32,31,32,30,204,97.14,2017-18
01611760138693,01,0161176,0138693,S,Washington High,Fremont Unified,Alameda,478,95,28,27,28,26,84,88.42,2017-18
