Year,Rtype,Sname,Dname,Cname,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21
2014,S,Granada High,Livermore Valley Joint Unified,Alameda,467,108,26.0,26.0,26.0,26.0,99,91.67
2014,S,Livermore High,Livermore Valley Joint Unified,Alameda,438,74,25.0,25.0,25.0,24.0,59,79.73
2014,D,,Newark Unified,Alameda,491,54,22.0,23.0,23.0,22.0,34,62.96
2014,S,Newark Memorial High,Newark Unified,Alameda,418,54,22.0,23.0,23.0,22.0,34,62.96
2014,D,,New Haven Unified,Alameda,1170,242,21.0,22.0,24.0,22.0,150,61.98
2014,S,James Logan High,New Haven Unified,Alameda,943,242,21.0,22.0,24.0,22.0,150,61.98
2014,D,,Oakland Unified,Alameda,3024,739,18.0,19.0,20.0,19.0,255,34.51
2014,S,Oakland Unity High,Oakland Unified,Alameda,67,34,13.0,16.0,18.0,16.0,4,11.76
2014,S,McClymonds High,Oakland Unified,Alameda,47,23,13.0,15.0,14.0,14.0,1,4.35
2014,S,American Indian Public High,Oakland Unified,Alameda,32,26,23.0,24.0,26.0,22.0,17,65.38
2014,S,Coliseum College Prep Academy,Oakland Unified,Alameda,53,21,12.0,14.0,16.0,14.0,1,4.76
2014,S,Oakland Charter High,Oakland Unified,Alameda,49,27,21.0,20.0,25.0,20.0,14,51.85
2014,S,ARISE High,Oakland Unified,Alameda,46,33,12.0,14.0,15.0,15.0,0,0.0
2014,S,Castlemont High,Oakland Unified,Alameda,157,30,14.0,16.0,17.0,17.0,3,10.0
2014,S,Fremont High,Oakland Unified,Alameda,146,14,13.0,16.0,18.0,16.0,3,21.43
2014,S,LIFE Academy,Oakland Unified,Alameda,68,32,16.0,17.0,19.0,17.0,7,21.88
2014,S,"Oakland Military Institute, College Prep",Oakland Unified,Alameda,75,40,17.0,20.0,19.0,18.0,12,30.0
2014,S,Aspire Lionel Wilson College Preparatory,Oakland Unified,Alameda,63,59,15.0,16.0,18.0,18.0,15,25.42
2014,S,Oakland High,Oakland Unified,Alameda,366,105,17.0,17.0,20.0,19.0,31,29.52
2014,S,Oakland Technical High,Oakland Unified,Alameda,442,171,22.0,23.0,23.0,22.0,103,60.23
2014,S,Skyline High,Oakland Unified,Alameda,373,86,19.0,20.0,21.0,19.0,36,41.86
2014,S,Oakland School for the Arts,Oakland Unified,Alameda,75,17,21.0,21.0,18.0,18.0,6,35.29
2014,D,,Piedmont City Unified,Alameda,192,87,29.0,28.0,27.0,27.0,80,91.95
2014,S,Piedmont High,Piedmont City Unified,Alameda,172,82,29.0,28.0,27.0,27.0,77,93.9
2014,D,,San Leandro Unified,Alameda,772,174,21.0,20.0,21.0,21.0,82,47.13
2014,S,San Leandro High,San Leandro Unified,Alameda,689,174,21.0,20.0,21.0,21.0,82,47.13
2014,D,,San Lorenzo Unified,Alameda,1059,206,19.0,20.0,21.0,20.0,88,42.72
2014,D,,Caruthers Unified,Fresno,135,29,17.0,20.0,19.0,19.0,8,27.59
2014,S,Caruthers High,Caruthers Unified,Fresno,124,29,17.0,20.0,19.0,19.0,8,27.59
2014,D,,Washington Unified,Fresno,348,87,15.0,16.0,17.0,16.0,8,9.2
2014,S,Washington High,Washington Unified,Fresno,242,87,15.0,16.0,17.0,16.0,8,9.2
2014,C,,,Glenn,421,56,18.0,19.0,19.0,19.0,16,28.57
2014,D,,Orland Joint Unified,Glenn,174,19,17.0,19.0,19.0,18.0,4,21.05
2014,S,Orland High,Orland Joint Unified,Glenn,151,19,17.0,19.0,19.0,18.0,4,21.05
2014,D,,Hamilton Unified,Glenn,58,18,19.0,20.0,19.0,20.0,5,27.78
2014,S,Hamilton High,Hamilton Unified,Glenn,51,18,19.0,20.0,19.0,20.0,5,27.78
2014,C,,,Humboldt,1296,114,23.0,24.0,23.0,23.0,79,69.3
2014,D,,Humboldt County Office of Educ,Humboldt,37,12,25.0,25.0,22.0,21.0,10,83.33
2014,S,Northcoast Preparatory and Performing Ar,Humboldt County Office of Educ,Humboldt,32,12,25.0,25.0,22.0,21.0,10,83.33
2014,D,,Northern Humboldt Union High,Humboldt,375,47,25.0,27.0,25.0,25.0,40,85.11
2014,S,Arcata High,Northern Humboldt Union High,Humboldt,166,38,25.0,27.0,25.0,25.0,32,84.21
2014,D,,Fortuna Union High,Humboldt,264,11,22.0,25.0,22.0,23.0,7,63.64
2014,D,,Eureka City Schools,Humboldt,315,37,21.0,20.0,22.0,21.0,18,48.65
2014,S,Eureka Senior High,Eureka City Schools,Humboldt,253,37,21.0,20.0,22.0,21.0,18,48.65
2014,C,,,Imperial,2543,505,19.0,20.0,21.0,20.0,206,40.79
2014,C,,,Kings,2171,271,18.0,20.0,20.0,19.0,109,40.22
2014,D,,Corcoran Joint Unified,Kings,247,39,19.0,21.0,20.0,19.0,16,41.03
2014,S,Corcoran High,Corcoran Joint Unified,Kings,197,39,19.0,21.0,20.0,19.0,16,41.03
