,ActSat Number Participation,ApCourse Participation,ApCourse Passed,Asian,"Black, non-Hispanic",FreeAnd Reduced PriceLunch,Hispanic,Id,Multiracial,Native American or Native Alaskan,Native Hawaiian or Other Pacific Islander,Percent Teachers InFirst SecondYear,Plan504,Sname,"White, non-Hispanic",Year,index
0,1071,46.8,885,45.63,6.52,18.16,11.87,1,3.96,0.17,0.76,7.9,1.5,Alameda High School,31.08,2016,
1,25,0,885,70.29,4.0,30.29,8.57,14052,2.29,0.0,2.29,12.5,1.2,Alameda Science And Technology Institute,12.57,2016,
2,25,0,885,0.0,0.0,30.29,0.0,17140,100.0,0.0,0.0,12.5,1.2,"Applied Scholastics Academy, East Bay",0.0,2016,
3,178,0,885,35.63,17.51,40.34,16.69,6,6.66,0.3,1.42,1.8,2,Encinal Junior/Senior High,21.78,2016,
4,4,0,885,10.26,18.8,46.15,39.32,9,7.69,1.71,2.56,10,3.9,Island High (Continuation) School,19.66,2016,
5,207,35.4,517,30.33,4.88,17.02,16.61,19,10.41,0.25,0.33,13.6,5.3,Albany High School,37.19,2016,
6,0,35.4,517,6.25,31.25,56.25,43.75,22,12.5,0.0,0.0,0,8.5,Macgregor High (Continuation) School,6.25,2016,
7,0,35.4,517,4.16667,1.66667,56.25,5.83333,24472,5.83333,1.66667,0.0,0,8.5,Tilden Preparatory School,80.8333,2016,
8,0,35.4,517,2.98507,20.8955,56.25,14.9254,17417,8.95522,0.0,0.0,0,8.5,Bayhill High School,52.2388,2016,
9,867,33.4,1157,9.48,18.5,27.66,21.43,25,10.54,0.35,0.19,2.2,0.9,Berkeley High School,39.51,2016,
10,0,1.2,1157,3.13,64.06,75.0,21.88,12572,3.13,0.0,1.56,17.7,5.3,Berkeley Technology Academy,6.25,2016,
11,0,1.2,1157,20.6522,14.1304,75.0,5.43478,8815,3.26087,0.0,0.0,17.7,5.3,Maybeck High School,56.5217,2016,
12,0,21.9,7,1.64,21.86,73.22,64.48,25570,7.38,0.0,0.27,17.7,5.3,Realm Charter High School,4.37,2016,
13,232,30.8,779,40.65,4.97,9.06,15.49,56,7.74,0.13,0.44,9.3,5.1,Dublin High School,30.58,2016,
14,232,30.8,779,47.5894,3.7325,9.06,2.9549,10327,39.1913,0.311042,0.311042,9.3,5.1,The Quarry Lane School,5.9098,2016,
15,232,30.8,779,16.1238,7.49186,9.06,6.67752,11515,6.84039,0.0,3.25733,9.3,5.1,Valley Christian Middle School & High School,59.6091,2016,
16,2,30.8,779,12.5,25.0,23.21,32.14,60,3.57,0.0,0.0,0,14.9,Valley High (Continuation) School,26.79,2016,
17,443,46.3,1147,65.36,4.68,21.83,10.89,66,2.2,0.33,0.76,4.9,1.3,American High School,15.77,2016,
18,443,46.3,1147,59.1837,4.08163,21.83,4.08163,25835,0.0,0.0,0.0,4.9,1.3,Averroes High School,32.6531,2016,
19,0,46.3,1147,6.38,8.51,93.62,46.81,12629,4.26,0.0,2.13,100,0,California School For The Blind,31.91,2016,
20,29,0.6,1147,11.22,8.67,66.84,48.47,12297,4.34,0.26,0.26,16.5,0,California School For The Deaf-Fremont,26.79,2016,
21,13,1.9,1147,36.18,4.93,16.45,23.36,75,5.26,0.33,0.99,9.8,0,Circle of Independent Learning School,28.95,2016,
22,13,1.9,1147,66.2566,4.74517,16.45,5.44815,8603,12.1265,0.0,0.878735,9.8,0,Fremont Christian School,10.5448,2016,
23,759,38,1063,69.02,1.82,15.98,10.92,85,1.6,0.44,0.67,2.3,2.8,Irvington High School,15.53,2016,
24,246,21.6,152,33.98,5.07,43.04,33.19,86,2.0,0.43,1.43,5.1,1.4,John F. Kennedy High School,23.91,2016,
25,768,64,2232,91.78,0.48,4.06,1.59,94,0.48,0.0,0.1,4.9,2.1,Mission San Jose High School,5.56,2016,
26,0,64,2232,14.71,5.88,60.78,56.37,100,3.43,0.49,0.98,5.7,2.6,Robertson High (Continuation) School,18.14,2016,
27,0,64,2232,9.52381,38.0952,60.78,9.52381,24476,4.7619,0.0,4.7619,5.7,2.6,Seneca Center,33.3333,2016,
28,273,23.8,441,42.26,5.16,29.2,21.9,106,3.07,0.27,0.82,6.8,3.5,Washington High School,26.51,2016,
29,273,23.8,441,43.48,8.7,0.0,26.09,31094,0.0,0.0,0.0,6.8,3.5,Young Adult Program,21.74,2016,
30,0,23.8,441,7.51,32.81,86.56,48.22,13988,2.77,0.4,1.98,8.3,1.1,Alameda County Community,6.32,2016,
31,0,23.8,441,23.08,15.38,76.92,46.15,16834,0.0,0.0,0.0,0,0,Alternative Learning Academy At Conley-Caraballo High,15.38,2016,
32,45,23.8,441,3.11,15.03,79.27,64.25,109,2.07,0.52,3.63,16.7,0,Brenkwitz High School,11.4,2016,
33,36,5.8,441,6.25,19.27,68.75,51.56,17040,2.6,0.0,3.13,38.9,3.2,East Bay Arts High School,17.19,2016,
34,177,18.8,198,9.87,16.39,75.19,59.87,121,1.84,0.19,3.48,14.8,0.6,Hayward High School,8.35,2016,
35,177,18.8,198,0.0,37.5,87.5,12.5,32004,0.0,0.0,12.5,14.8,0.6,Highland,37.5,2016,
36,177,59.4,50,8.66,13.2,59.74,66.45,17502,3.9,0.22,2.81,14.8,0.6,Impact Academy of Arts and Technology,4.76,2016,
