Year,CDS_CODE,COUNTY,DISTRICT,SCHOOL,Charter,Latitude,Longitude,Enroll12,NumTstTakr,AvgScrEng,AvgScrRead,AvgScrMath,AvgScrSci,NumGE21,PctGE21,(%)FRPM,American Indian or Alaska Native,Asian,Pacific Islander,Filipino,Hispanic or Latino,African American,White,Two or More Races,AvgScr
2014,1100170112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,Y,37.804520,-122.26815,48.0,18.0,16.0,15.0,17.0,16.0,1.0,5.56,77.25947521865889,0.041666666666666664,0.0,0.0,0.0,0.3958333333333333,0.5416666666666666,0.0,0.020833333333333332,16.0
2014,1100170118489,Alameda,Alameda County Office of Education,Aspire California College Preparatory Academy,Y,37.868991,-122.27844,51.0,25.0,18.0,17.0,19.0,18.0,7.0,28.0,66.08695652173913,0.0,0.0196078431372549,0.0,0.0392156862745098,0.7058823529411765,0.23529411764705882,0.0,0.0,18.0
2014,1316170131763,Alameda,California School for the Deaf-Fremont (State Spec,California School for the Deaf-Fremont,N,37.558956,-121.96551,76.0,23.0,14.0,15.0,15.0,14.0,1.0,4.35,99.75247524752476,0.0,0.10526315789473684,0.013157894736842105,0.039473684210526314,0.4605263157894737,0.14473684210526316,0.2236842105263158,0.013157894736842105,14.5
2014,1611190106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,N,37.780753,-122.27930,41.0,20.0,26.0,26.0,27.0,25.0,17.0,85.0,23.52941176470588,0.0,0.4878048780487805,0.0,0.0,0.1951219512195122,0.0975609756097561,0.21951219512195122,0.0,26.0
2014,1611190130229,Alameda,Alameda Unified,Alameda High,N,37.764958,-122.24593,428.0,114.0,25.0,24.0,25.0,24.0,94.0,82.46,22.831561275881366,0.0,0.4696261682242991,0.007009345794392523,0.08878504672897196,0.10514018691588785,0.04439252336448598,0.2803738317757009,0.004672897196261682,24.5
2014,1611190132878,Alameda,Alameda Unified,Encinal High,N,37.773616,-122.29027,242.0,43.0,22.0,23.0,24.0,22.0,30.0,69.77,45.3757225433526,0.004132231404958678,0.3347107438016529,0.03305785123966942,0.1652892561983471,0.09917355371900827,0.1487603305785124,0.2024793388429752,0.012396694214876033,22.75
2014,1611270130450,Alameda,Albany City Unified,Albany High,N,37.896661,-122.29257,288.0,102.0,27.0,27.0,27.0,26.0,91.0,89.22,20.98138747884941,0.003472222222222222,0.3506944444444444,0.003472222222222222,0.006944444444444444,0.1736111111111111,0.059027777777777776,0.3125,0.09027777777777778,26.75
2014,1611430131177,Alameda,Berkeley Unified,Berkeley High,N,37.868913,-122.27120,778.0,214.0,23.0,24.0,23.0,22.0,139.0,64.95,32.273449920508746,0.0038560411311053984,0.10539845758354756,0.0012853470437017994,0.002570694087403599,0.19794344473007713,0.21979434447300772,0.36118251928020567,0.10668380462724936,23.0
2014,1611500132225,Alameda,Castro Valley Unified,Castro Valley High,N,37.705184,-122.07847,756.0,166.0,25.0,25.0,26.0,24.0,136.0,81.93,20.733333333333334,0.0026455026455026454,0.2526455026455027,0.005291005291005291,0.022486772486772486,0.22354497354497355,0.07936507936507936,0.30952380952380953,0.09523809523809523,25.0
2014,1611680132746,Alameda,Emery Unified,Emery Secondary,N,37.835677,-122.28282,55.0,17.0,17.0,18.0,22.0,19.0,8.0,47.06,53.88127853881278,0.0,0.12727272727272726,0.0,0.0,0.2545454545454545,0.5272727272727272,0.09090909090909091,0.0,19.0
2014,1611760130062,Alameda,Fremont Unified,American High,N,37.563645,-122.01747,476.0,88.0,28.0,27.0,28.0,26.0,80.0,90.91,20.45918367346939,0.0021008403361344537,0.5441176470588235,0.004201680672268907,0.1134453781512605,0.09453781512605042,0.0546218487394958,0.17436974789915966,0.012605042016806723,27.25
2014,1611760134270,Alameda,Fremont Unified,Irvington High,N,37.522654,-121.96902,529.0,162.0,27.0,27.0,28.0,27.0,144.0,88.89,14.45617255621845,0.00945179584120983,0.5935727788279773,0.0,0.054820415879017016,0.11909262759924386,0.015122873345935728,0.19659735349716445,0.011342155009451797,27.25
2014,1611760134452,Alameda,Fremont Unified,John F. Kennedy High,N,37.528399,-121.98312,364.0,66.0,23.0,23.0,23.0,22.0,43.0,65.15,33.33333333333333,0.005494505494505495,0.2857142857142857,0.008241758241758242,0.06868131868131869,0.29945054945054944,0.06593406593406594,0.2445054945054945,0.02197802197802198,22.75
2014,1611760135244,Alameda,Fremont Unified,Mission San Jose High,N,37.545040,-121.93193,542.0,219.0,30.0,30.0,31.0,30.0,213.0,97.26,3.3225657591139823,0.0036900369003690036,0.8413284132841329,0.0036900369003690036,0.016605166051660517,0.02214022140221402,0.0036900369003690036,0.1014760147601476,0.007380073800738007,30.25
2014,1611760138693,Alameda,Fremont Unified,Washington High,N,37.552082,-121.99484,474.0,77.0,24.0,25.0,25.0,24.0,62.0,80.52,21.525885558583106,0.004219409282700422,0.2974683544303797,0.002109704641350211,0.09071729957805907,0.2088607594936709,0.06962025316455696,0.30168776371308015,0.02531645569620253,24.5
2014,1611920108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Y,37.624193,-122.08790,110.0,90.0,19.0,19.0,21.0,19.0,29.0,32.22,63.69426751592356,0.0,0.07272727272727272,0.045454545454545456,0.14545454545454545,0.6272727272727273,0.05454545454545454,0.045454545454545456,0.00909090909090909,19.5
2014,1611920113902,Alameda,Hayward Unified,Impact Academy of Arts & Technology,Y,37.631317,-122.10254,109.0,19.0,20.0,20.0,20.0,19.0,8.0,42.11,65.23605150214593,0.0,0.027522935779816515,0.03669724770642202,0.03669724770642202,0.4954128440366973,0.1834862385321101,0.1651376146788991,0.05504587155963303,19.75
2014,1611920133629,Alameda,Hayward Unified,Hayward High,N,37.672677,-122.06992,386.0,88.0,17.0,18.0,18.0,18.0,19.0,21.59,67.70451770451771,0.010362694300518135,0.06735751295336788,0.04404145077720207,0.06217616580310881,0.4896373056994819,0.21761658031088082,0.09844559585492228,0.010362694300518135,17.75
2014,1611920135319,Alameda,Hayward Unified,Mt. Eden High,N,37.625313,-122.09056,407.0,52.0,20.0,21.0,21.0,21.0,28.0,53.85,63.75335120643432,0.004914004914004914,0.13513513513513514,0.06633906633906633,0.15724815724815724,0.44226044226044225,0.11793611793611794,0.0687960687960688,0.007371007371007371,20.75
2014,1611920138339,Alameda,Hayward Unified,Tennyson High,N,37.642546,-122.06596,296.0,45.0,17.0,18.0,19.0,18.0,11.0,24.44,75.57879014189693,0.013513513513513514,0.10810810810810811,0.08108108108108109,0.08783783783783784,0.5844594594594594,0.08783783783783784,0.037162162162162164,0.0,18.0
2014,1612000133397,Alameda,Livermore Valley Joint Unified,Granada High,N,37.675206,-121.78984,467.0,108.0,26.0,26.0,26.0,26.0,99.0,91.67,14.221105527638192,0.004282655246252677,0.04068522483940043,0.004282655246252677,0.034261241970021415,0.21199143468950749,0.010706638115631691,0.6188436830835118,0.07494646680942184,26.0
2014,1612000134536,Alameda,Livermore Valley Joint Unified,Livermore High,N,37.680526,-121.76173,438.0,74.0,25.0,25.0,25.0,24.0,59.0,79.73,20.114285714285714,0.0045662100456621,0.06621004566210045,0.0,0.02968036529680365,0.1917808219178082,0.02511415525114155,0.58675799086758,0.09360730593607305,24.75
2014,1612340130054,Alameda,Newark Unified,Newark Memorial High,N,37.522095,-122.00175,418.0,54.0,22.0,23.0,23.0,22.0,34.0,62.96,47.37696051919957,0.0,0.11722488038277512,0.019138755980861243,0.14114832535885166,0.42822966507177035,0.07655502392344497,0.19138755980861244,0.023923444976076555,22.5
2014,1612420134668,Alameda,New Haven Unified,James Logan High,N,37.592494,-122.02604,943.0,242.0,21.0,22.0,24.0,22.0,150.0,61.98,45.31612903225806,0.0021208907741251328,0.2598091198303287,0.043478260869565216,0.2492046659597031,0.2651113467656416,0.09225874867444327,0.0689289501590668,0.019088016967126194,22.25
2014,1612590100065,Alameda,Oakland Unified,Oakland Unity High,Y,37.773706,-122.18548,67.0,34.0,13.0,16.0,18.0,16.0,4.0,11.76,77.73972602739725,0.0,0.0,0.0,0.0,0.9104477611940298,0.029850746268656716,0.0,0.014925373134328358,15.75
2014,1612590110189,Alameda,Oakland Unified,McClymonds High,N,37.817864,-122.27863,47.0,23.0,13.0,15.0,14.0,14.0,1.0,4.35,86.18181818181819,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.9148936170212766,0.0,0.02127659574468085,14.0
2014,1612590111856,Alameda,Oakland Unified,American Indian Public High,Y,37.811503,-122.24905,32.0,26.0,23.0,24.0,26.0,22.0,17.0,65.38,81.20805369127517,0.0,0.71875,0.0,0.0,0.1875,0.03125,0.03125,0.0,23.75
2014,1612590112797,Alameda,Oakland Unified,Coliseum College Prep Academy,N,37.761975,-122.19337,53.0,21.0,12.0,14.0,16.0,14.0,1.0,4.76,98.5200845665962,0.0,0.0,0.018867924528301886,0.0,0.8679245283018868,0.11320754716981132,0.0,0.0,14.0
2014,1612590114868,Alameda,Oakland Unified,Oakland Charter High,Y,37.785856,-122.21961,49.0,27.0,21.0,20.0,25.0,20.0,14.0,51.85,78.94736842105263,0.0,0.46938775510204084,0.0,0.0,0.4897959183673469,0.02040816326530612,0.02040816326530612,0.0,21.5
2014,1612590115238,Alameda,Oakland Unified,ARISE High,Y,37.776162,-122.22506,46.0,33.0,12.0,14.0,15.0,15.0,0.0,0.0,94.33198380566802,0.08695652173913043,0.0,0.0,0.0,0.717391304347826,0.021739130434782608,0.15217391304347827,0.0,14.0
2014,1612590125161,Alameda,Oakland Unified,Castlemont High,N,37.759536,-122.16291,157.0,30.0,14.0,16.0,17.0,17.0,3.0,10.0,86.87943262411348,0.0,0.012738853503184714,0.07006369426751592,0.0,0.5095541401273885,0.39490445859872614,0.006369426751592357,0.0,16.0
2014,1612590125716,Alameda,Oakland Unified,Fremont High,N,37.774400,-122.20972,146.0,14.0,13.0,16.0,18.0,16.0,3.0,21.43,82.80605226960111,0.0,0.0821917808219178,0.04794520547945205,0.00684931506849315,0.5205479452054794,0.2945205479452055,0.04794520547945205,0.0,15.75
2014,1612590130575,Alameda,Oakland Unified,LIFE Academy,N,37.784286,-122.21676,68.0,32.0,16.0,17.0,19.0,17.0,7.0,21.88,94.27207637231504,0.0,0.058823529411764705,0.0,0.014705882352941176,0.7794117647058824,0.08823529411764706,0.058823529411764705,0.0,17.25
2014,1612590130617,Alameda,Oakland Unified,"Oakland Military Institute, College Preparatory Ac",Y,37.829395,-122.27234,75.0,40.0,17.0,20.0,19.0,18.0,12.0,30.0,71.21001390820584,0.0,0.21333333333333335,0.013333333333333334,0.0,0.4,0.26666666666666666,0.06666666666666667,0.04,18.5
2014,1612590130666,Alameda,Oakland Unified,Aspire Lionel Wilson College Preparatory Academy,Y,37.729387,-122.18048,63.0,59.0,15.0,16.0,18.0,18.0,15.0,25.42,93.9879759519038,0.0,0.015873015873015872,0.0,0.0,0.9365079365079365,0.047619047619047616,0.0,0.0,16.75
2014,1612590135905,Alameda,Oakland Unified,Oakland High,N,37.805290,-122.23652,366.0,105.0,17.0,17.0,20.0,19.0,31.0,29.52,86.5979381443299,0.00546448087431694,0.453551912568306,0.00819672131147541,0.02185792349726776,0.1830601092896175,0.3087431693989071,0.01092896174863388,0.0,18.25
2014,1612590136051,Alameda,Oakland Unified,Oakland Technical High,N,37.831725,-122.25413,442.0,171.0,22.0,23.0,23.0,22.0,103.0,60.23,53.58508604206501,0.006787330316742082,0.20588235294117646,0.011312217194570135,0.011312217194570135,0.18099547511312217,0.3438914027149321,0.2081447963800905,0.020361990950226245,22.5
2014,1612590137943,Alameda,Oakland Unified,Skyline High,N,37.797495,-122.16360,373.0,86.0,19.0,20.0,21.0,19.0,36.0,41.86,75.07018528916339,0.002680965147453083,0.20107238605898123,0.024128686327077747,0.021447721179624665,0.30294906166219837,0.34584450402144773,0.08579088471849866,0.00804289544235925,19.75
2014,1612593030772,Alameda,Oakland Unified,Oakland School for the Arts,Y,37.807834,-122.27113,75.0,17.0,21.0,21.0,18.0,18.0,6.0,35.29,14.201183431952662,0.0,0.013333333333333334,0.02666666666666667,0.0,0.13333333333333333,0.30666666666666664,0.3466666666666667,0.08,19.5
2014,1612750136515,Alameda,Piedmont City Unified,Piedmont High,N,37.823674,-122.23290,172.0,82.0,29.0,28.0,27.0,27.0,77.0,93.9,0.5194805194805194,0.005813953488372093,0.22674418604651161,0.005813953488372093,0.011627906976744186,0.029069767441860465,0.01744186046511628,0.6744186046511628,0.029069767441860465,27.75
2014,1612910137588,Alameda,San Leandro Unified,San Leandro High,N,37.717128,-122.14256,689.0,174.0,21.0,20.0,21.0,21.0,82.0,47.13,62.941847206385404,0.002902757619738752,0.1799709724238026,0.015965166908563134,0.10014513788098693,0.3875181422351234,0.18142235123367198,0.11611030478955008,0.015965166908563134,20.75
