,City,Sname,Type,gsId,Lat,Lon,Enrollment,gsRating,ParentRating
0,Alameda,Alameda Community Learning Center,charter,11902,37.779053,-122.28703,360,8,4
1,Alameda,Alameda High School,public,1,37.764294,-122.24807,1853,9,4
2,Alameda,Alameda Science And Technology Institute,public,14052,37.779884,-122.28052,175,10,4
3,Alameda,"Applied Scholastics Academy, East Bay",private,17140,37.76968,-122.24931,13,,5
4,Alameda,Children's Learning Center,private,10045,37.76858,-122.25329,,,5
5,Alameda,Chinese American Schools - Alameda,private,25837,37.725845,-122.23934,,,
6,Alameda,Encinal Junior/Senior High,public,6,37.772766,-122.289,1336,6,4
7,Alameda,Island High (Continuation) School,public,9,37.775723,-122.28124,117,,4
9,Alameda,Saint Joseph Notre Dame High School,private,8234,37.765614,-122.25512,443,,4
10,Albany,Albany High School,public,19,37.89666,-122.29257,1210,9,4
11,Albany,Macgregor High (Continuation) School,public,22,37.89642,-122.29211,16,,2
12,Albany,Tilden Preparatory School,private,24472,37.890675,-122.294975,120,,5
13,Berkeley,Bayhill High School,private,17417,37.876,-122.27173,80,,5
14,Berkeley,Berkeley Adult,public,14417,37.87318,-122.29158,,,
15,Berkeley,Berkeley High School,public,25,37.86891,-122.2712,3205,8,4
16,Berkeley,Berkeley Technology Academy,public,12572,37.85974,-122.27171,64,2,5
17,Berkeley,Maybeck High School,private,8815,37.861164,-122.25296,92,,5
18,Berkeley,Realm Charter High School,charter,25570,37.867477,-122.29492,366,2,5
19,Berkeley,Saint Mary's College High School,private,11245,37.8823,-122.28367,,,4
20,Berkeley,Via Center,private,10161,37.865643,-122.29717,,,5
21,Dublin,Dublin Adult Education,public,13725,37.70954,-121.92146,,,
22,Dublin,Dublin High School,public,56,37.720997,-121.92639,2273,10,4
23,Dublin,The Quarry Lane School,private,10327,37.727722,-121.86985,673,,4
24,Dublin,Valley Christian Middle School & High School,private,11515,37.702232,-121.95373,686,,4
25,Dublin,Valley High (Continuation) School,public,60,37.709167,-121.92118,56,,3
26,Fremont,Alsion Montessori Middle / High School,private,24142,37.532295,-121.913795,60,,4
27,Fremont,American High School,public,66,37.563644,-122.01747,2093,10,4
28,Fremont,Averroes High School,private,25835,37.51951,-121.946014,52,,
29,Fremont,California School For The Blind,public,12629,37.562576,-121.96563,47,,
30,Fremont,California School For The Deaf-Fremont,public,12297,37.558956,-121.96551,392,1,4
31,Fremont,Circle of Independent Learning School,charter,75,37.537964,-121.99206,304,6,5
32,Fremont,Family Learning Center,private,15818,37.5486,-122.0191,,,1
33,Fremont,Fremont Adult,public,14027,37.538033,-121.99084,,,
34,Fremont,Fremont Christian School,private,8603,37.550518,-122.01925,620,,4
35,Fremont,Irvington High School,public,85,37.522655,-121.96902,2253,9,5
36,Fremont,John F. Kennedy High School,public,86,37.5284,-121.98312,1401,7,3
37,Fremont,Mills Academy,private,23783,37.4821,-121.920334,,,
38,Fremont,Mission Peak Christian,private,8716,37.5293,-121.9558,,,
39,Fremont,Mission San Jose High School,public,94,37.54504,-121.93193,2069,10,4
40,Fremont,Mission Valley Rocp School,public,15031,37.527996,-121.98347,,,
41,Fremont,Robertson High (Continuation) School,public,100,37.51863,-121.96492,204,,5
42,Fremont,Seneca Center,private,24476,37.53233,-121.962685,21,,5
45,Fremont,Washington High School,public,106,37.552082,-121.99484,1822,8,4
46,Fremont,Young Adult Program,public,31094,37.53812,-121.99201,23,,
47,Hayward,A Shepherd's Heart Christian School,private,25833,37.658833,-122.09631,,,
48,Hayward,Alameda County Community,public,13988,37.65821,-122.09713,253,,5
49,Hayward,Alternative Learning Academy At Conley-Caraballo High,public,16834,37.61521,-122.02875,13,,5
50,Hayward,Brenkwitz High School,public,109,37.671955,-122.09895,193,,5
51,Hayward,California Crosspoint Academy,private,30599,37.636845,-122.11439,200,,
53,Hayward,East Bay Arts High School,public,17040,37.668976,-122.11506,192,4,4
54,Hayward,Eden Area Rop School,public,15030,37.634544,-122.09874,,,
55,Hayward,Hayward Adult,public,14702,37.672623,-122.09814,,,
56,Hayward,Hayward High School,public,121,37.672676,-122.06992,1580,4,3
57,Hayward,Highland,public,32004,37.661938,-122.05792,8,,
58,Hayward,Impact Academy of Arts and Technology,charter,17502,37.630905,-122.10272,700,6,4
59,Hayward,Kingdom Builder Christian Private School,private,25847,37.63339,-122.07889,,,
60,Hayward,Leadership Public Schools - Hayward,charter,24625,37.62419,-122.0879,533,9,5
61,Hayward,Liber Academy of Hayward,private,15824,37.6623,-122.0559,,,
62,Hayward,Liber Community School,private,25848,37.67862,-122.08818,,,
63,Hayward,Moreau Catholic High School,private,8228,37.64442,-122.06009,946,,4
64,Hayward,Mount Eden High School,public,127,37.625313,-122.09056,2009,6,3
65,Hayward,Peaceful Learning School,private,25852,37.630264,-122.10409,,,
67,Hayward,Silver Oak High School - Public Montessori Charter,charter,27149,37.662285,-122.07465,200,5,5
68,Hayward,Spectrum Center - Mission,private,24503,37.672577,-122.09802,,,
69,Hayward,Stellar Preparatory High School,private,25855,37.677094,-122.0719,,,3
70,Hayward,Tennyson High School,public,137,37.642548,-122.06596,1294,1,3
71,Hayward,Victory Academy,private,15344,37.668167,-122.06808,,,
72,Livermore,Celebration Academy,private,12909,37.7097,-121.73449,,,
73,Livermore,Del Valle Continuation High School,public,146,37.6789,-121.76674,132,,5
74,Livermore,Granada High School,public,148,37.675205,-121.78984,2059,9,4
75,Livermore,Livermore Adult,public,14551,37.67688,-121.74036,,,
76,Livermore,Livermore High School,public,151,37.680527,-121.76173,1794,8,4
77,Livermore,Selah Christian School,private,23784,37.685516,-121.73447,,,
78,Livermore,Sonrise Christian Academy,private,15834,37.70499,-121.70061,,,
79,Livermore,Squaw Valley Academy Bay Area,private,32370,37.706795,-121.81537,78,,
80,Livermore,Tri-Valley Rop School,public,15029,37.66908,-121.77403,,,
81,Livermore,Vine And Branches Christian Schools,private,15839,37.679607,-121.74353,,,
82,Livermore,Vineyard Alternative School,public,10866,37.677174,-121.73987,89,,5
83,Newark,Bridgepoint High (Continuation) School,public,173,37.550556,-122.03779,76,,5
85,Newark,Newark Adult,public,14217,37.55061,-122.03793,,,
86,Newark,Newark Memorial High School,public,180,37.522095,-122.00175,1767,5,3
87,Oakland,Agnes Memorial Christian Academy,private,9569,37.783047,-122.23424,,,3
88,Oakland,Alternatives in Action,charter,11903,37.764496,-122.195404,165,,4
89,Oakland,American Christian Academy,private,17126,37.7927,-122.208,,,
90,Oakland,American Indian Public High School,charter,16974,37.811176,-122.251045,229,6,3
91,Oakland,Arise High School,charter,17573,37.77616,-122.22506,263,4,3
92,Oakland,Aspire Golden State College Preparatory Academy,charter,24802,37.759098,-122.19807,578,4,3
93,Oakland,Aspire Lionel Wilson College Preparatory Academy,charter,12584,37.729385,-122.18048,531,4,3
94,Oakland,Bay Area Technology School,charter,13627,37.76625,-122.154396,320,2,4
95,Oakland,Bayhill High School,private,26685,37.807617,-122.24896,,,
96,Oakland,Baywood Learning Centers,private,23780,37.79007,-122.16501,25,,
97,Oakland,Bishop O Dowd High School,private,8225,37.75353,-122.15511,1200,,4
98,Oakland,Candell's College Preparatory Academy,private,15186,37.768364,-122.13668,,,
99,Oakland,Candell's College Preparatory School,private,15813,37.7664,-122.175705,90,,4
100,Oakland,Castlemont High,public,25806,37.759537,-122.16291,564,1,
101,Oakland,Civicorps Corpsmember Academy,charter,17431,37.79877,-122.28552,80,,
102,Oakland,Clara Mohammed School,private,11258,37.77234,-122.2094,,,5
103,Oakland,Clickstudy International,private,15817,37.807613,-122.26576,,,
104,Oakland,Coliseum College Prep Academy,public,17091,37.761974,-122.19337,482,4,3
105,Oakland,Community Day School,public,14591,37.78844,-122.17803,18,,
106,Oakland,Conservatory Of Vocal/Instrumental Arts High,charter,32014,37.789555,-122.16561,100,,
107,Oakland,Cornerstone Christian Academy,private,30603,37.7908,-122.198395,,,
108,Oakland,Dewey Academy,public,200,37.796703,-122.25817,201,,5
109,Oakland,Doulos Academy,private,31225,37.84036,-122.21681,,,
110,Oakland,E.M. University of Science & Technology School,private,25838,37.81764,-122.27474,,,
111,Oakland,East Bay Innovation Academy,charter,31946,37.74605,-122.14112,490,6,
